111q”pais","ciudad","anho","ingreso_total_salarios","ingreso_total_ganancias","ingreso_total_capital","ingreso_total_transferencias","ingreso_total_otros","gini_salarios","gini_ganancias","gini_capital","gini_transferencias","gini_otros"
"México","México Ciudad",2002,49.64,26.68,1.64,3.25,18.78,42.07,35.66,1.73,3.37,17.18
"México","México Ciudad",2005,42.22,32.89,1.11,3.1,20.69,30.57,44.64,0.91,2.79,21.09
"México","México Ciudad",2010,53,10.78,1.08,6.32,28.82,50.2,10.35,1.09,6.49,31.86
"Nicaragua","Managua",1993,54.92,33.54,1.47,1.26,8.82,50.19,39.96,1.98,0.27,7.59
"Nicaragua","Managua",1998,55.6,32.97,3.52,1.19,6.71,50.32,37.21,5.91,1.12,5.44
"Nicaragua","Managua",2001,50.06,42.54,2.12,1.34,3.94,39.61,54.69,2.63,0.58,2.48
"Nicaragua","Managua",2005,55.71,26.24,1.14,2.46,14.46,51.08,28.33,1.67,2.92,16
"Panamá","Panamá Ciudad",1991,59.82,14.22,4.62,14.24,7.11,59.34,12.26,7.68,13.84,6.89
"Panamá","Panamá Ciudad",1994,52.89,14.69,9.66,9.57,13.2,49.28,13.12,17.01,8.58,12.02
"Panamá","Panamá Ciudad",1999,64.41,13.49,1.01,13.31,7.76,66.66,10.52,1.49,13.49,7.85
"Panamá","Panamá Ciudad",2002,68.25,13.29,1.88,14.58,2.01,71.16,11.85,2.78,12.87,1.33
"Panamá","Panamá Ciudad",2005,59.61,13.6,1.25,11.51,14.03,55.11,15.68,1.8,13.1,14.3
"Panamá","Panamá Ciudad",2010,58.88,24.02,1.62,11.74,3.74,50.97,30.19,2.72,13.29,2.83
"Paraguay","Asunción",1990,39.72,47.77,4.81,4.84,2.86,17.66,67.32,8.57,4.32,2.14
"Paraguay","Asunción",1994,42.45,38.66,4.99,6.73,7.17,30.11,46.25,7.47,7.72,8.46
"Paraguay","Asunción",2000,44.44,26.67,7.2,9.99,11.7,35.55,30.63,10.47,12.68,10.67
"Paraguay","Asunción",2005,48.7,25.41,5.11,8.72,12.07,43.89,28.08,8.15,10.05,9.83
"Paraguay","Asunción",2010,49.83,26.16,6.09,13.26,4.65,38.64,27.88,9.22,19.1,5.16
"Perú","Lima",1999,44.06,22.55,2.61,5.08,25.71,44,20.39,3.48,5.6,26.53
"Perú","Lima",2003,47.26,26.06,3.67,6.24,16.77,52.04,25.05,6,7.58,9.34
"Perú","Lima",2006,46.92,26.34,3.2,4.99,18.54,46.48,28.37,5.67,6.27,13.21
"Perú","Lima",2010,48.76,23.3,3.26,4.81,19.87,51.95,20.95,5.52,6.25,15.33
"Uruguay","Montevideo",1990,33.08,32.12,4.85,13.21,16.74,17.6,49.81,7.93,9.28,15.39
"Uruguay","Montevideo",1994,41.81,18.74,4.19,17.16,18.1,32.14,25,8.23,15.62,19.02
"Uruguay","Montevideo",1999,42.84,16.72,5.77,19.08,15.6,36.5,19.7,11.23,17.15,15.42
"Uruguay","Montevideo",2002,40.32,15.37,5.48,21.59,17.24,35.9,17.71,10.69,17.43,18.27
"Uruguay","Montevideo",2005,41.05,15.13,6.24,25.18,12.41,35.93,17.8,12.05,13.39,20.84
"Uruguay","Montevideo",2010,43.63,15.76,0,16.62,23.99,38.35,19.93,0,17.4,24.33
"Venezuela (República Bolivariana de)","Caracas ",1990,60.26,27.11,5.47,0,7.16,50.27,37.19,9.68,0,2.86
"Venezuela (República Bolivariana de)","Caracas ",1994,52.19,30.66,6.93,0.02,10.2,44.35,37.63,10.94,0,7.08
"Venezuela (República Bolivariana de)","Caracas ",1999,50.88,33.83,6.69,1.02,7.58,42.88,40.25,10.65,0.54,5.68
"Venezuela (República Bolivariana de)","Caracas ",2002,47.17,31.34,6.79,2.72,11.98,36.28,38.88,11.15,3.34,10.36
"Venezuela (República Bolivariana de)","Caracas ",2005,48.29,31.27,6.87,2.39,11.17,37.85,39.28,11.26,2.4,9.2
"Venezuela (República Bolivariana de)","Caracas ",2010,58.02,19.11,7.04,4.27,11.56,54.63,17.95,11.91,5.31,10.06
